date,hour,type,0,1,2,3,4,5,6,7
2017010122,22,PM10,441.5,561.2,466.5,325.5,498.3333333333333,434.75,583.0,477.0
2017010123,23,PM10,440.75,553.6,482.3333333333333,409.0,507.6666666666667,425.25,561.6666666666666,476.0
201701020,0,PM10,425.0,549.0,473.25,295.5,496.5,428.0,545.6666666666666,493.0
201701021,1,PM10,426.6666666666667,551.6666666666666,496.75,242.0,523.0,434.0,507.3333333333333,532.0
201701022,2,PM10,423.5,454.0,494.3333333333333,43.0,504.0,409.5,464.0,456.0
201701023,3,PM10,405.5,454.0,445.0,42.0,415.0,398.3333333333333,342.0,442.0
201701024,4,PM10,357.5,415.0,445.0,32.0,415.0,398.3333333333333,273.0,399.0
201701025,5,PM10,312.0,415.0,445.0,35.0,415.0,398.3333333333333,313.0,399.0
201701026,6,PM10,288.0,415.0,445.0,33.0,415.0,398.3333333333333,200.0,399.0
201701027,7,PM10,288.0,415.0,445.0,35.0,415.0,398.3333333333333,200.0,399.0
201701028,8,PM10,303.5,415.0,445.0,28.0,415.0,404.0,200.0,399.0
201701029,9,PM10,303.25,415.0,445.0,35.0,415.0,351.0,200.0,399.0
2017010210,10,PM10,362.6666666666667,415.0,240.0,36.0,415.0,457.0,200.0,399.0
2017010211,11,PM10,411.5,161.0,240.0,31.5,415.0,457.0,200.0,399.0
2017010212,12,PM10,342.5,211.5,294.0,44.0,199.0,457.0,247.0,399.0
2017010213,13,PM10,319.5,333.0,294.0,49.5,199.0,457.0,247.0,399.0
2017010214,14,PM10,325.0,266.0,283.5,35.333333333333336,283.0,234.0,211.0,107.0
2017010215,15,PM10,291.0,266.0,265.0,78.75,287.0,233.0,211.0,326.0
2017010216,16,PM10,291.0,266.0,194.0,130.25,291.0,240.0,211.0,326.0
2017010217,17,PM10,291.0,266.0,194.0,140.5,269.0,240.0,73.0,233.0
2017010218,18,PM10,245.5,220.0,194.0,115.33333333333333,204.0,240.0,198.5,233.0
2017010219,19,PM10,281.0,220.0,194.0,122.0,206.0,407.0,233.66666666666666,233.0
2017010220,20,PM10,311.0,281.0,194.0,127.0,206.0,466.0,313.0,233.0
2017010221,21,PM10,307.0,198.5,198.0,133.5,206.0,329.5,352.0,233.0
2017010222,22,PM10,322.0,221.0,248.0,133.5,206.0,409.0,266.5,233.0
2017010223,23,PM10,377.0,404.0,263.0,177.0,171.0,411.5,225.5,233.0
201701030,0,PM10,406.0,213.0,309.5,115.0,262.0,400.3333333333333,225.5,233.0
201701031,1,PM10,425.25,239.0,343.0,189.5,262.0,412.6666666666667,251.0,233.0
201701032,2,PM10,433.75,295.0,355.6666666666667,87.0,262.0,419.3333333333333,251.0,233.0
201701033,3,PM10,442.75,359.0,376.6666666666667,69.0,262.0,445.0,251.0,233.0
201701034,4,PM10,424.3333333333333,359.0,384.0,114.0,262.0,445.0,251.0,233.0
201701035,5,PM10,437.6666666666667,359.0,400.0,116.0,262.0,445.0,251.0,233.0
201701036,6,PM10,415.6666666666667,292.0,409.0,126.0,262.0,445.0,251.0,233.0
201701037,7,PM10,389.0,292.0,366.5,123.0,262.0,424.0,251.0,233.0
201701038,8,PM10,389.6666666666667,292.0,324.0,133.66666666666666,261.0,535.0,251.0,233.0
201701039,9,PM10,432.25,239.0,324.0,155.0,218.0,286.5,251.0,233.0
2017010310,10,PM10,474.75,199.0,282.0,221.0,218.0,353.0,153.0,233.0
2017010311,11,PM10,465.5,237.0,238.0,151.0,218.0,262.0,153.0,233.0
2017010312,12,PM10,456.5,287.0,246.0,187.5,218.0,345.0,153.0,233.0
2017010313,13,PM10,430.0,287.0,246.0,155.33333333333334,218.0,491.0,153.0,233.0
2017010314,14,PM10,441.3333333333333,246.0,317.5,56.0,199.0,364.3333333333333,153.0,233.0
2017010315,15,PM10,444.6666666666667,354.25,375.5,133.5,190.66666666666666,452.0,153.0,233.0
2017010316,16,PM10,401.5,458.3333333333333,377.0,148.66666666666666,222.0,486.0,185.33333333333331,196.0
2017010317,17,PM10,439.0,452.6666666666667,409.0,99.0,381.0,501.0,128.0,555.0
2017010318,18,PM10,511.5,508.75,464.5,129.0,332.6666666666667,576.0,235.33333333333331,544.0
2017010319,19,PM10,612.25,558.0,559.3333333333334,109.0,358.5,650.25,349.0,544.0
2017010320,20,PM10,648.25,614.4,631.6666666666666,148.33333333333334,427.0,692.5,338.0,513.0
2017010321,21,PM10,674.25,667.4,626.75,191.0,388.6666666666667,717.0,345.25,543.0
2017010322,22,PM10,672.0,724.0,646.25,87.0,435.5,704.75,381.0,530.0
2017010323,23,PM10,638.0,749.0,665.0,128.0,468.0,616.0,337.3333333333333,523.0
201701040,0,PM10,634.4,714.4,691.75,303.5,472.0,797.5,338.3333333333333,530.0
201701041,1,PM10,638.75,761.5,712.6666666666666,74.0,551.0,802.5,382.6666666666667,534.0
201701042,2,PM10,650.5,755.25,667.0,76.0,545.5,694.0,256.0,525.0
201701043,3,PM10,655.6666666666666,676.75,676.75,51.0,686.0,758.0,285.3333333333333,542.0
201701044,4,PM10,631.1999999999999,638.5,659.25,61.0,534.0,732.5,539.0,628.0
201701045,5,PM10,622.0,557.5,644.5,59.0,487.0,583.3333333333334,561.0,628.0
201701046,6,PM10,583.3333333333334,420.0,602.25,74.0,498.0,651.0,506.0,628.0
201701047,7,PM10,585.0,280.0,600.3333333333334,109.0,467.0,647.0,506.0,628.0
201701048,8,PM10,559.0,448.0,520.0,65.33333333333333,467.0,556.0,506.0,628.0
201701049,9,PM10,589.3333333333334,361.0,520.0,104.0,237.0,532.0,186.0,628.0
2017010410,10,PM10,574.0,463.0,520.0,126.33333333333333,332.0,506.0,469.0,628.0
2017010411,11,PM10,498.0,481.5,520.0,145.25,350.0,559.0,469.0,244.0
2017010412,12,PM10,579.5,187.0,214.5,122.5,363.0,483.5,54.0,244.0
2017010413,13,PM10,579.5,525.0,318.5,147.0,363.0,6.0,245.0,244.0
2017010414,14,PM10,403.6666666666667,536.5,318.5,129.5,363.0,6.0,190.0,244.0
2017010415,15,PM10,372.0,392.0,372.0,131.0,260.0,407.0,277.6666666666667,244.0
2017010416,16,PM10,400.59999999999997,403.5,372.0,144.0,260.0,407.0,254.0,244.0
2017010417,17,PM10,334.5,508.0,414.0,179.25,304.5,488.0,295.0,244.0
