date,hour,type,0,1,2,3,4,5,6,7
2017052823,23,PM2.5,51.833333333333336,51.0,55.25,24.75,47.0,56.0,48.25,46.666666666666664
201705290,0,PM2.5,51.5,47.8,55.5,35.25,48.5,49.5,43.0,41.333333333333336
201705291,1,PM2.5,40.833333333333336,44.8,44.75,34.25,44.75,43.0,36.25,38.666666666666664
201705292,2,PM2.5,40.666666666666664,42.4,38.75,37.75,37.25,43.25,33.5,35.666666666666664
201705293,3,PM2.5,40.0,37.6,45.0,37.0,39.75,44.5,30.5,32.666666666666664
201705294,4,PM2.5,44.166666666666664,40.8,40.75,39.25,39.75,38.0,35.5,31.666666666666668
201705295,5,PM2.5,39.0,39.8,40.0,39.25,34.5,38.25,32.0,31.333333333333332
201705296,6,PM2.5,35.666666666666664,37.6,35.25,35.75,36.0,38.75,33.0,28.0
201705297,7,PM2.5,36.333333333333336,32.4,34.25,36.75,31.75,38.25,28.5,28.666666666666668
201705298,8,PM2.5,30.0,37.2,24.25,32.0,25.75,34.5,31.0,32.0
201705299,9,PM2.5,26.333333333333332,31.2,24.5,27.75,26.5,27.25,17.5,18.333333333333332
2017052910,10,PM2.5,23.333333333333332,31.6,19.75,24.25,23.5,25.5,15.25,17.666666666666668
2017052911,11,PM2.5,23.166666666666668,25.6,21.75,29.0,26.0,19.0,13.75,13.0
2017052912,12,PM2.5,19.0,31.0,18.25,23.75,21.0,22.5,15.5,18.0
2017052913,13,PM2.5,17.833333333333332,22.2,17.666666666666668,22.0,13.75,15.5,15.75,20.0
2017052914,14,PM2.5,18.0,23.4,19.5,20.75,19.666666666666668,17.5,15.5,21.0
2017052915,15,PM2.5,20.333333333333332,23.2,23.0,24.75,22.333333333333332,17.75,19.25,19.5
2017052916,16,PM2.5,20.333333333333332,21.2,20.5,21.0,25.0,20.25,22.75,22.0
2017052917,17,PM2.5,21.0,23.6,21.5,22.25,29.75,22.0,21.0,24.0
2017052918,18,PM2.5,25.166666666666668,25.0,21.5,22.0,27.75,22.5,27.5,22.0
2017052919,19,PM2.5,23.0,25.0,26.0,23.25,28.75,23.75,28.75,24.666666666666668
2017052920,20,PM2.5,29.333333333333332,28.0,25.0,25.25,29.25,25.0,30.0,29.666666666666668
2017052921,21,PM2.5,25.8,26.6,29.25,26.25,37.5,26.0,28.25,25.666666666666668
2017052922,22,PM2.5,30.666666666666668,34.0,33.0,26.25,27.5,26.0,30.25,31.0
2017052923,23,PM2.5,35.166666666666664,29.8,32.5,27.5,32.5,27.25,26.75,31.333333333333332
