date,hour,type,0,1,2,3,4,5,6,7,气温,露点,湿度,气压,风向,风速,values
201707090,0,AQI,150.83333333333334,96.6,157.5,106.33333333333331,113.5,113.66666666666669,81.0,135.0,27.0,25.0,0.89,-12.0,北,7.2,126.0
201707091,1,AQI,157.66666666666666,93.6,174.0,100.66666666666669,118.0,143.0,74.0,133.66666666666666,26.0,24.0,0.89,-12.0,北,7.2,120.0
201707092,2,AQI,172.83333333333337,109.4,184.5,106.0,124.0,147.33333333333334,72.0,130.0,26.0,23.0,0.83,-12.0,北,3.6,124.0
201707093,3,AQI,168.16666666666666,127.8,165.0,102.66666666666669,114.0,172.33333333333337,67.75,126.0,26.0,23.0,0.83,-12.0,北,7.2,114.0
201707094,4,AQI,166.33333333333334,106.2,158.0,101.0,117.25,141.33333333333334,67.0,116.66666666666669,25.0,23.0,0.89,-12.0,北,3.6,114.0
201707095,5,AQI,163.16666666666666,105.0,146.5,96.66666666666669,112.25,148.0,60.25,113.66666666666669,25.0,22.0,0.83,-12.0,北,7.2,111.0
201707096,6,AQI,155.83333333333334,108.6,130.5,98.33333333333331,115.25,164.66666666666666,50.5,110.33333333333331,25.0,22.0,0.83,-11.0,北,7.2,108.0
201707097,7,AQI,132.0,102.4,119.0,103.66666666666669,115.0,147.0,51.75,123.0,26.0,23.0,0.83,-11.0,北,3.6,97.0
201707098,8,AQI,146.0,111.8,106.25,109.33333333333331,119.25,191.0,54.5,122.33333333333331,28.0,23.0,0.74,-11.0,北,7.2,97.0
2017070921,21,AQI,92.5,120.2,89.5,85.0,110.5,88.33333333333331,116.66666666666669,179.66666666666663,31.0,25.0,0.7,-13.0,东南偏东,10.8,154.0
2017070922,22,AQI,79.0,93.2,89.5,73.66666666666667,94.5,59.33333333333334,121.75,197.66666666666663,30.0,26.0,0.79,-13.0,东南偏东,10.8,146.0
2017070923,23,AQI,52.5,61.0,67.25,94.33333333333331,62.5,44.66666666666666,149.0,190.3333333333333,28.0,17.0,0.51,-11.0,南,36.0,137.0
201707100,0,AQI,40.333333333333336,44.6,45.25,77.33333333333333,49.5,33.0,135.25,58.66666666666666,27.0,18.0,0.58,-12.0,西南偏南,28.8,127.0
201707101,1,AQI,37.16666666666666,37.2,35.5,61.0,35.5,30.0,60.0,37.0,26.0,17.0,0.57,-12.0,东南,14.4,67.0
201707102,2,AQI,40.333333333333336,41.4,30.25,62.0,36.0,25.33333333333333,37.75,36.66666666666666,27.0,17.0,0.54,-12.0,西南,7.2,59.0
201707103,3,AQI,40.16666666666666,42.8,33.5,63.0,38.5,23.33333333333333,35.5,32.0,23.0,19.0,0.78,-13.0,北,14.4,51.0
