date,hour,type,0,1,2,3,4,5,6,7,气温,露点,湿度,气压,风向,风速,values
2017010122,22,PM10,441.5,561.2,466.5,325.5,498.33333333333326,434.75,583.0,477.0,-5.0,-6.0,0.93,15.0,不定,3.6,520.0
2017010123,23,PM10,440.75,553.6,482.33333333333326,409.0,507.66666666666674,425.25,561.6666666666666,476.0,-7.0,-8.0,0.93,15.0,不定,3.6,520.0
201701020,0,PM10,425.0,549.0,473.25,295.5,496.5,428.0,545.6666666666666,493.0,-8.0,-9.0,0.93,15.0,北,7.2,520.0
201701021,1,PM10,426.66666666666674,551.6666666666666,496.75,242.0,523.0,434.0,507.33333333333326,532.0,-5.0,-7.0,0.86,14.0,东北偏北,10.8,520.0
201701022,2,PM10,423.5,454.0,494.33333333333326,43.0,504.0,409.5,464.0,456.0,-4.0,-7.0,0.8,15.0,西北偏西,10.8,520.0
201701023,3,PM10,405.5,454.0,445.0,42.0,415.0,398.33333333333326,342.0,442.0,-4.0,-6.0,0.86,16.0,西,7.2,432.0
201701024,4,PM10,357.5,415.0,445.0,32.0,415.0,398.33333333333326,273.0,399.0,-8.0,-10.0,0.86,15.0,北,7.2,432.0
201701025,5,PM10,312.0,415.0,445.0,35.0,415.0,398.33333333333326,313.0,399.0,-9.0,-10.0,0.93,15.0,西北偏北,3.6,313.0
201701026,6,PM10,288.0,415.0,445.0,33.0,415.0,398.33333333333326,200.0,399.0,-8.0,-10.0,0.86,15.0,不定,3.6,200.0
201701027,7,PM10,288.0,415.0,445.0,35.0,415.0,398.33333333333326,200.0,399.0,-6.0,-10.0,0.74,16.0,不定,3.6,200.0
201701028,8,PM10,303.5,415.0,445.0,28.0,415.0,404.0,200.0,399.0,-4.0,-9.0,0.69,16.0,西北偏北,14.4,200.0
201701029,9,PM10,303.25,415.0,445.0,35.0,415.0,351.0,200.0,399.0,1.0,-7.0,0.56,17.0,北,10.8,303.0
2017010210,10,PM10,362.66666666666674,415.0,240.0,36.0,415.0,457.0,200.0,399.0,4.0,-8.0,0.42,18.0,西北偏北,7.2,388.0
2017010211,11,PM10,411.5,161.0,240.0,31.5,415.0,457.0,200.0,399.0,7.0,-10.0,0.29,17.0,北,7.2,304.0
2017010212,12,PM10,342.5,211.5,294.0,44.0,199.0,457.0,247.0,399.0,8.0,-12.0,0.23,16.0,北,7.2,275.0
2017010213,13,PM10,319.5,333.0,294.0,49.5,199.0,457.0,247.0,399.0,6.0,-9.0,0.34,16.0,西南偏南,18.0,323.0
2017010214,14,PM10,325.0,266.0,283.5,35.333333333333336,283.0,234.0,211.0,107.0,8.0,-11.0,0.25,15.0,西南偏南,14.4,205.0
2017010215,15,PM10,291.0,266.0,265.0,78.75,287.0,233.0,211.0,326.0,8.0,-10.0,0.27,14.0,南,10.8,212.0
2017010216,16,PM10,291.0,266.0,194.0,130.25,291.0,240.0,211.0,326.0,5.0,-6.0,0.45,15.0,南,14.4,245.0
2017010217,17,PM10,291.0,266.0,194.0,140.5,269.0,240.0,73.0,233.0,3.0,-7.0,0.48,15.0,南,14.4,229.0
2017010218,18,PM10,245.5,220.0,194.0,115.33333333333331,204.0,240.0,198.5,233.0,2.0,-7.0,0.52,15.0,南,7.2,217.0
2017010219,19,PM10,281.0,220.0,194.0,122.0,206.0,407.0,233.66666666666663,233.0,-2.0,-7.0,0.69,15.0,东南,3.6,307.0
2017010220,20,PM10,311.0,281.0,194.0,127.0,206.0,466.0,313.0,233.0,-3.0,-7.0,0.74,15.0,东北偏东,7.2,289.0
2017010221,21,PM10,307.0,198.5,198.0,133.5,206.0,329.5,352.0,233.0,-3.0,-8.0,0.69,15.0,不定,3.6,235.0
2017010222,22,PM10,322.0,221.0,248.0,133.5,206.0,409.0,266.5,233.0,-4.0,-8.0,0.74,15.0,东,7.2,238.0
2017010223,23,PM10,377.0,404.0,263.0,177.0,171.0,411.5,225.5,233.0,-3.0,-7.0,0.74,14.0,不定,3.6,222.0
201701030,0,PM10,406.0,213.0,309.5,115.0,262.0,400.33333333333326,225.5,233.0,-6.0,-9.0,0.8,14.0,无风,3.6,289.0
