date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170528,23,PM2.5,42.0,48.0,48.0,57.0,52.0,54.0,43.0,,38.0,43.0,55.0,50.0,51.0,45.0,57.0,65.0,60.0,41.0,51.0,45.0,48.0,47.0,19.0,17.0,22.0,46.0,35.0,,67.0,57.0,50.0,52.0,60.0,59.0,60.0
20170528,23,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170528,23,PM10,153.0,112.0,112.0,105.0,109.0,131.0,104.0,,84.0,118.0,104.0,114.0,126.0,123.0,106.0,143.0,129.0,88.0,120.0,82.0,107.0,80.0,43.0,54.0,49.0,,109.0,,93.0,116.0,110.0,114.0,107.0,127.0,138.0
20170528,23,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170528,23,AQI,102.0,81.0,81.0,78.0,80.0,108.0,77.0,,67.0,84.0,99.0,94.0,103.0,87.0,78.0,97.0,90.0,69.0,108.0,66.0,81.0,90.0,43.0,52.0,49.0,86.0,80.0,,90.0,83.0,80.0,82.0,81.0,89.0,94.0
20170529,0,PM2.5,64.0,53.0,52.0,51.0,53.0,50.0,40.0,55.0,41.0,47.0,48.0,47.0,43.0,41.0,53.0,53.0,44.0,61.0,49.0,39.0,43.0,31.0,18.0,28.0,34.0,45.0,41.0,,49.0,51.0,51.0,51.0,58.0,60.0,55.0
20170529,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,0,PM10,124.0,108.0,119.0,71.0,92.0,86.0,107.0,134.0,72.0,112.0,104.0,103.0,115.0,113.0,89.0,100.0,101.0,157.0,138.0,85.0,79.0,32.0,25.0,53.0,62.0,,96.0,,89.0,84.0,116.0,97.0,114.0,125.0,109.0
20170529,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,0,AQI,87.0,79.0,85.0,70.0,73.0,69.0,79.0,92.0,61.0,81.0,77.0,77.0,83.0,82.0,73.0,75.0,76.0,104.0,94.0,68.0,65.0,60.0,27.0,52.0,56.0,63.0,73.0,,70.0,70.0,83.0,74.0,82.0,88.0,80.0
20170529,1,PM2.5,56.0,35.0,45.0,39.0,38.0,41.0,39.0,54.0,37.0,43.0,43.0,48.0,39.0,37.0,43.0,41.0,38.0,49.0,49.0,37.0,38.0,31.0,21.0,36.0,31.0,38.0,41.0,,39.0,51.0,37.0,45.0,49.0,48.0,41.0
20170529,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,1,PM10,104.0,117.0,90.0,75.0,97.0,83.0,106.0,123.0,70.0,94.0,113.0,119.0,119.0,112.0,95.0,129.0,119.0,129.0,148.0,88.0,78.0,48.0,32.0,79.0,62.0,,92.0,,89.0,102.0,130.0,123.0,123.0,127.0,138.0
20170529,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,1,AQI,77.0,84.0,70.0,63.0,74.0,67.0,78.0,87.0,60.0,72.0,82.0,85.0,85.0,81.0,73.0,90.0,85.0,90.0,99.0,69.0,64.0,48.0,32.0,65.0,56.0,54.0,71.0,,70.0,76.0,90.0,87.0,87.0,89.0,94.0
20170529,2,PM2.5,38.0,39.0,34.0,43.0,31.0,39.0,41.0,36.0,29.0,38.0,44.0,42.0,39.0,34.0,43.0,40.0,44.0,44.0,53.0,33.0,41.0,27.0,22.0,46.0,39.0,35.0,30.0,,47.0,45.0,43.0,36.0,43.0,49.0,38.0
20170529,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,2,PM10,174.0,197.0,170.0,140.0,144.0,158.0,164.0,163.0,114.0,177.0,119.0,168.0,146.0,162.0,131.0,172.0,104.0,154.0,127.0,45.0,49.0,35.0,52.0,94.0,71.0,,96.0,,114.0,133.0,177.0,166.0,177.0,188.0,184.0
20170529,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,2,AQI,112.0,124.0,110.0,95.0,97.0,104.0,107.0,107.0,82.0,114.0,85.0,109.0,98.0,106.0,91.0,111.0,77.0,102.0,89.0,47.0,58.0,39.0,51.0,72.0,61.0,50.0,73.0,,82.0,92.0,114.0,108.0,114.0,119.0,117.0
20170529,3,PM2.5,43.0,40.0,35.0,43.0,33.0,44.0,42.0,38.0,36.0,43.0,38.0,39.0,37.0,35.0,36.0,43.0,35.0,44.0,39.0,27.0,29.0,22.0,34.0,41.0,29.0,38.0,36.0,,42.0,50.0,41.0,40.0,43.0,48.0,50.0
20170529,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,3,PM10,199.0,214.0,215.0,175.0,156.0,187.0,205.0,206.0,124.0,189.0,161.0,212.0,211.0,205.0,159.0,189.0,58.0,225.0,189.0,101.0,60.0,35.0,59.0,97.0,107.0,,108.0,,138.0,159.0,182.0,187.0,190.0,186.0,173.0
20170529,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,3,AQI,125.0,132.0,133.0,113.0,103.0,119.0,128.0,128.0,87.0,120.0,106.0,131.0,131.0,128.0,105.0,120.0,54.0,138.0,120.0,76.0,55.0,40.0,55.0,74.0,79.0,54.0,79.0,,94.0,105.0,116.0,119.0,120.0,118.0,112.0
20170529,4,PM2.5,39.0,37.0,41.0,42.0,36.0,38.0,38.0,49.0,26.0,37.0,43.0,39.0,36.0,36.0,44.0,42.0,29.0,41.0,45.0,34.0,30.0,32.0,39.0,39.0,38.0,44.0,32.0,,39.0,34.0,38.0,44.0,46.0,66.0,44.0
