date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20131205,0,PM2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131205,1,PM2.5,93.0,93.0,63.0,79.0,59.0,108.0,85.0,169.0,49.0,72.0,90.0,109.0,80.0,128.0,205.0,190.0,70.0,80.0,59.0,57.0,54.0,37.0,187.0,55.0,91.0,25.0,68.0,292.0,316.0,163.0,68.0,90.0,54.0,85.0,136.0
20131205,2,PM2.5,165.0,148.0,156.0,149.0,80.0,164.0,111.0,170.0,45.0,147.0,77.0,80.0,121.0,201.0,166.0,145.0,90.0,94.0,59.0,47.0,39.0,13.0,240.0,31.0,87.0,,69.0,199.0,248.0,97.0,176.0,154.0,136.0,175.0,148.0
20131205,3,PM2.5,133.0,118.0,138.0,119.0,121.0,141.0,102.0,147.0,79.0,151.0,105.0,94.0,169.0,134.0,119.0,111.0,44.0,74.0,64.0,86.0,35.0,12.0,218.0,22.0,66.0,5.0,57.0,133.0,228.0,138.0,146.0,119.0,115.0,127.0,146.0
20131205,4,PM2.5,85.0,88.0,115.0,101.0,82.0,106.0,100.0,130.0,89.0,147.0,96.0,84.0,139.0,109.0,121.0,96.0,17.0,73.0,64.0,70.0,16.0,7.0,191.0,9.0,49.0,3.0,44.0,98.0,173.0,129.0,117.0,96.0,96.0,110.0,105.0
20131205,5,PM2.5,29.0,27.0,45.0,46.0,42.0,30.0,98.0,81.0,56.0,76.0,86.0,70.0,97.0,71.0,58.0,40.0,12.0,7.0,61.0,56.0,6.0,6.0,155.0,5.0,25.0,,38.0,90.0,105.0,110.0,58.0,39.0,36.0,57.0,34.0
20131205,6,PM2.5,24.0,24.0,46.0,20.0,30.0,21.0,64.0,30.0,27.0,52.0,71.0,49.0,51.0,32.0,22.0,13.0,5.0,6.0,50.0,,3.0,4.0,89.0,3.0,15.0,3.0,30.0,71.0,101.0,84.0,26.0,19.0,29.0,24.0,27.0
20131205,7,PM2.5,17.0,24.0,23.0,24.0,18.0,17.0,29.0,19.0,8.0,36.0,44.0,19.0,59.0,34.0,17.0,16.0,3.0,6.0,30.0,27.0,3.0,5.0,64.0,3.0,16.0,6.0,26.0,66.0,90.0,53.0,29.0,20.0,20.0,21.0,32.0
20131205,8,PM2.5,13.0,13.0,13.0,11.0,11.0,26.0,17.0,20.0,21.0,16.0,40.0,16.0,56.0,15.0,17.0,13.0,7.0,11.0,30.0,17.0,7.0,7.0,59.0,3.0,11.0,3.0,22.0,38.0,68.0,55.0,14.0,14.0,12.0,19.0,17.0
20131205,9,PM2.5,18.0,14.0,10.0,10.0,6.0,23.0,16.0,32.0,21.0,9.0,70.0,20.0,27.0,15.0,18.0,15.0,7.0,9.0,30.0,8.0,7.0,3.0,40.0,4.0,12.0,8.0,13.0,24.0,63.0,46.0,17.0,11.0,14.0,16.0,15.0
20131205,10,PM2.5,11.0,9.0,11.0,3.0,13.0,14.0,14.0,16.0,14.0,6.0,21.0,16.0,21.0,9.0,16.0,17.0,11.0,14.0,19.0,9.0,9.0,8.0,33.0,8.0,16.0,3.0,6.0,14.0,27.0,31.0,23.0,14.0,13.0,8.0,20.0
20131205,11,PM2.5,7.0,10.0,12.0,7.0,8.0,5.0,18.0,16.0,14.0,9.0,15.0,14.0,19.0,10.0,17.0,13.0,9.0,14.0,17.0,110.0,9.0,6.0,33.0,12.0,14.0,,6.0,15.0,21.0,25.0,11.0,9.0,9.0,11.0,16.0
20131205,12,PM2.5,8.0,9.0,16.0,,11.0,11.0,17.0,6.0,8.0,3.0,16.0,9.0,20.0,9.0,19.0,14.0,6.0,13.0,16.0,7.0,9.0,5.0,28.0,11.0,9.0,4.0,5.0,8.0,14.0,23.0,3.0,8.0,6.0,13.0,5.0
20131205,13,PM2.5,9.0,6.0,14.0,,9.0,8.0,16.0,8.0,8.0,3.0,15.0,13.0,14.0,10.0,12.0,14.0,5.0,5.0,13.0,7.0,7.0,8.0,18.0,10.0,16.0,,3.0,7.0,3.0,13.0,18.0,3.0,12.0,3.0,5.0
20131205,14,PM2.5,3.0,8.0,22.0,10.0,12.0,3.0,14.0,7.0,6.0,3.0,14.0,4.0,17.0,9.0,15.0,14.0,3.0,8.0,9.0,11.0,10.0,3.0,18.0,13.0,18.0,,7.0,10.0,3.0,3.0,19.0,10.0,11.0,15.0,9.0
20131205,15,PM2.5,7.0,8.0,10.0,12.0,12.0,11.0,14.0,10.0,6.0,3.0,8.0,5.0,11.0,5.0,14.0,8.0,6.0,13.0,3.0,10.0,12.0,5.0,18.0,11.0,14.0,,8.0,4.0,3.0,3.0,18.0,4.0,12.0,11.0,11.0
20131205,16,PM2.5,14.0,11.0,11.0,12.0,13.0,9.0,13.0,5.0,9.0,3.0,12.0,14.0,19.0,16.0,16.0,14.0,12.0,12.0,5.0,8.0,12.0,7.0,12.0,11.0,12.0,7.0,6.0,5.0,16.0,15.0,22.0,13.0,15.0,18.0,10.0
20131205,17,PM2.5,10.0,20.0,16.0,16.0,13.0,15.0,20.0,3.0,6.0,13.0,20.0,11.0,30.0,22.0,15.0,24.0,14.0,13.0,16.0,8.0,16.0,6.0,14.0,14.0,12.0,4.0,11.0,25.0,12.0,33.0,21.0,15.0,9.0,21.0,10.0
20131205,18,PM2.5,15.0,16.0,17.0,20.0,25.0,11.0,23.0,30.0,9.0,35.0,38.0,39.0,51.0,30.0,32.0,50.0,19.0,16.0,32.0,14.0,25.0,13.0,16.0,35.0,10.0,7.0,7.0,29.0,7.0,47.0,27.0,22.0,16.0,30.0,33.0
20131205,19,PM2.5,31.0,18.0,32.0,44.0,30.0,30.0,45.0,68.0,19.0,49.0,63.0,69.0,68.0,53.0,34.0,86.0,40.0,28.0,54.0,23.0,73.0,79.0,14.0,25.0,20.0,,5.0,57.0,35.0,93.0,54.0,37.0,29.0,50.0,54.0
20131205,20,PM2.5,40.0,36.0,51.0,58.0,40.0,47.0,66.0,40.0,36.0,78.0,83.0,85.0,,49.0,79.0,68.0,58.0,65.0,60.0,39.0,70.0,91.0,29.0,23.0,15.0,,10.0,147.0,76.0,88.0,60.0,42.0,44.0,53.0,49.0
